name,year,total_budget,total_budget_high,total_budget_notes,team_size,team_size_high,dev_time,revenue,revenue_high,copies_sold,marketing_budget,notes,pre_orders,dev_budget,total_budget_source,team_size_source,dev_time_source,revenue_source,copies_sold_source,marketing_budget_source,pre_orders_source,dev_budget_source
Gee Bee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://web.archive.org/web/20190801205701/https://www.4gamer.net/games/999/G999905/20180313040/,N/A,N/A,N/A
FS1 Flight Simulator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30K,N/A,Sales up until June 1982,N/A,N/A,N/A,N/A,N/A,N/A,http://www.cgwmuseum.org/galleries/issues/cgw_2.5.pdf  (page 2),N/A,N/A,N/A
Super Invader,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20K,N/A,Sales up until June 1982,N/A,N/A,N/A,N/A,N/A,N/A,http://www.cgwmuseum.org/galleries/issues/cgw_2.5.pdf  (page 2),N/A,N/A,N/A
Temple of Apshai,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30K,N/A,Sales up until June 1982,N/A,N/A,N/A,N/A,N/A,N/A,http://www.cgwmuseum.org/galleries/issues/cgw_2.5.pdf  (page 2),N/A,N/A,N/A
Adventure,1980,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://web.archive.org/web/20080830011315/http://retro.ign.com/articles/903/903024p1.html,N/A,N/A,N/A
Battlezone,1980,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.gamasutra.com/view/feature/3766/atari_the_golden_years__a_.php?print=1,N/A,N/A,N/A
Missile Command,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.5M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.ign.com/articles/2008/08/26/top-10-best-selling-atari-2600-games,N/A,N/A,N/A
Mystery House,1980,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://books.google.com/books?id=HJNvZLvpCEQC    (page 135),N/A,N/A,N/A
Wizard and the Princess,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25K,N/A,Sales up until June 1982,N/A,N/A,N/A,N/A,N/A,N/A,http://www.cgwmuseum.org/galleries/issues/cgw_2.5.pdf  (page 2),N/A,N/A,N/A
Zork I,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,378K,N/A,Sales up until 1986,N/A,N/A,N/A,N/A,N/A,N/A,https://web.archive.org/web/20080924074642/http://www.gamesetwatch.com/2008/09/great_scott_infocoms_alltime_s.php,N/A,N/A,N/A
Apple Panic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15K,N/A,Sales up until June 1982,N/A,N/A,N/A,N/A,N/A,N/A,http://www.cgwmuseum.org/galleries/issues/cgw_2.5.pdf  (page 2),N/A,N/A,N/A
Astrosmash,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2M,N/A,Sales up until March 1999,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/89326350/edmonton-journal/,N/A,N/A,N/A
